global_index,bundle,query_char,style_code,style_name,style_label,era,author,work_title,detail_title,image_url,thumb_url,image_path,image_type,image_subtype_reason,width,height,aspect_ratio,mean_gray,median_gray,std_gray,p05_gray,p25_gray,p50_gray,p75_gray,p95_gray,border_mean,corner_mean,center_mean,dark_ratio,mid_ratio,bright_ratio,background_std,gray_noise_ratio,mean_r,mean_g,mean_b,saturation_mean,yellow_score,dark_component_count,largest_dark_component_area,total_dark_area,largest_dark_component_ratio,bright_component_count,largest_bright_component_area,total_bright_area,largest_bright_component_ratio,largest_bright_component_image_ratio,dark_bbox_area_ratio,bright_bbox_area_ratio,dark_bbox_aspect_ratio,bright_bbox_aspect_ratio,has_vector_hint,black_background_candidate,source_index_1based
0,common_h_bundle,婉,9,楷书,楷書,唐,颜真卿,罗婉顺墓志,唐 · 颜真卿 · 罗婉顺墓志,https://wxapp-b.shufazidian.com/gq/3/11/78_c274a1311.jpg,https://wxapp-b.shufazidian.com/gq/3/11/1/78_c274a1311.jpg,/Users/lainantian/Developer/Caligraphy/common_h_bundle/common_h_downloads/楷书/17983_婉_楷书_颜真卿_罗婉顺墓志.jpg,black_damaged,bright_bbox_spans_image_many_components,481,473,1.0169133192389006,37.77434539794922,14.0,59.741512298583984,1.0,7.0,14.0,29.0,208.0,26.878042221069336,19.840314865112305,55.196353912353516,0.8629265140893048,0.08125689521038358,0.05581659070031163,44.23575973510742,0.08656208656208657,37.77434696039347,37.77434696039347,37.77434696039347,0.0,0.0,24,203319,203436,0.9994248805521146,84,3543,15834,0.2237589996210686,0.01557273650296906,1.0,0.8845208845208845,1.0169133192389006,1.0883720930232559,False,True,17983
1,common_g_bundle 2,舍,7,草书,草書,宋,黄庭坚,廉颇蔺相如列传,宋 · 黄庭坚 · 廉颇蔺相如列传,https://wxapp.shufazidian.com/gq/1/13/344247.jpg,https://wxapp.shufazidian.com/gq/1/13/1/344247.jpg,/Users/lainantian/Developer/Caligraphy/common_g_bundle 2/common_g_downloads/草书/22823_舍_草书_黄庭坚_廉颇蔺相如列传.jpg,yellow_paper,warm_yellow_background,493,530,1.075050709939148,167.8816375732422,186.0,42.50438690185547,71.0,182.0,186.0,189.0,193.0,182.5520477294922,185.4255828857422,152.5900115966797,0.1319223850893643,0.8663936622143978,0.0016839526962378966,23.37290382385254,0.829526579662444,176.6851008458035,166.24194190363198,153.13328485590722,0.1215309128165245,23.551803588867188,5,35178,44488,0.7907300845171732,28,204704,205433,0.9964513977793247,0.783436028933369,0.8321099161850817,1.0,1.215130023640662,1.075050709939148,False,False,22823
2,common_c_bundle,泛,3,篆书,篆書,,邓石如,,邓石如,https://wxapp.shufazidian.com/png_b/z/L/1LU.png,https://wxapp.shufazidian.com/png_b/z/L/1LU.png,/Users/lainantian/Developer/Caligraphy/common_c_bundle/common_c_downloads/篆书/46520_泛_篆书_邓石如_未标注作品.png,clean_white,bright_low_noise_background,528,538,1.018939393939394,215.70925903320312,255.0,92.06182861328125,0.0,255.0,255.0,255.0,255.0,255.0,255.0,166.42454528808594,0.15408147459727387,0.0,0.8459185254027262,0.0,0.0,215.70922397769516,215.70922397769516,215.70922397769516,0.0,0.0,6,12646,43769,0.28892595215792,1,240295,240295,1.0,0.8459185254027262,0.4144840599301566,1.0,1.4,1.018939393939394,False,False,46520
3,common_g_bundle 2,素,1,章草,草書,晋,索靖,月仪帖,晋 · 索靖 · 月仪帖,https://wxapp-b.shufazidian.com/gq/6/8/43_p678a942.jpg,https://wxapp-b.shufazidian.com/gq/6/8/1/43_p678a942.jpg,/Users/lainantian/Developer/Caligraphy/common_g_bundle 2/common_g_downloads/章草/80373_素_章草_索靖_月仪帖.jpg,catalog_or_invalid,extreme_component_count,637,909,1.4270015698587126,46.42950439453125,25.0,53.91513442993164,10.0,18.0,25.0,36.0,181.0,23.847232818603516,23.087182998657227,65.89051055908203,0.8405013185776976,0.15845556298172989,0.0010431184405724717,14.950653076171875,0.14679301525128965,50.843755019143984,46.12841237027941,36.38658763835567,0.33260634541511536,14.457172393798828,101,491104,493816,0.994508075882515,467,1209,28981,0.041716986991477176,0.0020879638984306593,1.0,0.7789556035666361,1.4270015698587126,1.3454231433506045,False,True,80373
4,common_i_bundle,于,9,楷书,楷書,隋,董美人墓志,,隋 · 董美人墓志,https://wxapp-b.shufazidian.com/gq/1/10/310067.jpg,https://wxapp-b.shufazidian.com/gq/1/10/1/310067.jpg,/Users/lainantian/Developer/Caligraphy/common_i_bundle/common_i_downloads/楷书/79586_于_楷书_董美人墓志_未标注作品.jpg,catalog_or_invalid,extreme_component_count,451,451,1.0,48.099761962890625,32.0,46.95962905883789,13.0,23.0,32.0,47.0,190.0,43.86852264404297,40.63580322265625,56.839298248291016,0.8730537214664628,0.09129256984970575,0.03565370868383145,37.33773422241211,0.08900644539604033,50.93867286788167,49.7163829086386,32.150456487431235,0.5648791790008545,18.78821563720703,9,185112,185155,0.9997677621452297,130,7695,11647,0.6606851549755302,0.03783167241065678,1.0,0.9334811529933481,1.0,1.0712589073634204,False,True,79586
5,less_common_b_bundle,腚,9,楷书,楷書,,如果不满意这么大，请看“矢量部分”找到原大的。,,如果不满意这么大，请看“矢量部分”找到原大的。,https://wxapp-b.shufazidian.com/shufa6/saab2c7947b68390f445601327e83b24f.jpg,https://wxapp-b.shufazidian.com/shufa6/1/saab2c7947b68390f445601327e83b24f.jpg,/Users/lainantian/Developer/Caligraphy/less_common_b_bundle/less_common_b_downloads/楷书/08919_腚_楷书_如果不满意这么大，请看“矢量部分”找到原大的。_未标注作品.jpg,catalog_or_invalid,has_vector_hint;extreme_component_count,268,514,1.9179104477611941,221.07431030273438,255.0,77.41670227050781,7.0,249.0,255.0,255.0,255.0,235.78041076660156,246.01161193847656,219.1051025390625,0.11225971310761368,0.04559643417155468,0.8421438527208316,58.496700286865234,0.06245281375225042,220.75962599454093,221.30485945757593,220.71298420349615,0.0037497798912227154,0.046630859375,170,2574,17350,0.14835734870317002,73,59975,117284,0.5113655741618635,0.43538387827399966,0.9440298507462687,1.0,2.0316205533596836,1.9179104477611941,True,False,8919
6,common_c_bundle,父,3,篆书,篆書,清,黄牧甫,吕子呻吟语,清 · 黄牧甫 · 吕子呻吟语,https://wxapp-b.shufazidian.com/gq/3/16/72_c753a1611.jpg,https://wxapp-b.shufazidian.com/gq/3/16/1/72_c753a1611.jpg,/Users/lainantian/Developer/Caligraphy/common_c_bundle/common_c_downloads/篆书/66507_父_篆书_黄牧甫_吕子呻吟语.jpg,catalog_or_invalid,extreme_component_count,561,761,1.35650623885918,183.08236694335938,203.0,60.56293869018555,24.0,186.0,203.0,216.0,231.0,204.54702758789062,203.37217712402344,146.24807739257812,0.11851841441390797,0.3390533611604957,0.5424282244255964,20.2215518951416,0.8725712719683502,198.91371705772264,179.499928558211,160.76873473078157,0.19373111426830292,38.144989013671875,7,51974,52229,0.9951176549426564,569,329281,339265,0.9705716770076489,0.771292581063007,0.9867048001855144,1.0,1.3675675675675676,1.35650623885918,False,False,66507
7,less_common_b_bundle,樵,1,章草,草書,,如果不满意这么大，请看“矢量部分”找到原大的。,,如果不满意这么大，请看“矢量部分”找到原大的。,https://wxapp-b.shufazidian.com/shufa6/840e41ee61477cf25a40eb8de364fb471.jpg,https://wxapp-b.shufazidian.com/shufa6/1/840e41ee61477cf25a40eb8de364fb471.jpg,/Users/lainantian/Developer/Caligraphy/less_common_b_bundle/less_common_b_downloads/章草/03242_樵_章草_如果不满意这么大，请看“矢量部分”找到原大的。_未标注作品.jpg,catalog_or_invalid,has_vector_hint;aspect_ratio_gt_2.8;extreme_component_count,402,1366,3.398009950248756,226.6629180908203,255.0,71.58285522460938,10.0,252.0,255.0,255.0,255.0,234.06243896484375,243.46902465820312,223.76083374023438,0.09302499216946017,0.04109940779266187,0.865875600037878,62.38421630859375,0.056161360110137455,226.5371076535332,226.7914508715573,226.33331694383136,0.002774810418486595,0.2038116455078125,554,4588,57358,0.07998884200983297,203,326422,480065,0.6799537562621728,0.5944326682837642,0.945273631840796,1.0,3.594736842105263,3.398009950248756,True,False,3242
8,common_c_bundle,大,9,楷书,楷書,唐,颜真卿,多宝塔碑,唐 · 颜真卿 · 多宝塔碑,https://wxapp-b.shufazidian.com/gq/1/11/13639.jpg,https://wxapp-b.shufazidian.com/gq/1/11/1/13639.jpg,/Users/lainantian/Developer/Caligraphy/common_c_bundle/common_c_downloads/楷书/04550_大_楷书_颜真卿_多宝塔碑.jpg,black_noisy,bright_component_count_gt_60,474,426,1.1126760563380282,74.91653442382812,56.0,45.01601028442383,47.0,52.0,56.0,64.0,188.0,58.33199691772461,62.761505126953125,92.93558502197266,0.8111021968661477,0.1728075909748222,0.01609021215903013,15.368593215942383,0.15440957984192072,82.6213674451774,72.31489075097562,68.42875537330877,0.14216290414333344,14.192611694335938,31,170048,170522,0.9972203000199388,72,9968,15329,0.6502707286841933,0.04936510766426973,1.0,0.7513123749529526,1.1126760563380282,1.0077319587628866,False,True,4550
9,common_j_bundle,在,1,章草,草書,唐,佚名,因明入正理论后疏卷,唐 · 佚名 · 因明入正理论后疏卷,https://wxapp-b.shufazidian.com/gq/6/11/4_t576a54041.jpg,https://wxapp-b.shufazidian.com/gq/6/11/1/4_t576a54041.jpg,/Users/lainantian/Developer/Caligraphy/common_j_bundle/common_j_downloads/章草/14271_在_章草_佚名_因明入正理论后疏卷.jpg,rubbing_noisy,dark_bbox_spans_image_fragmented,300,329,1.0966666666666667,152.1728515625,181.0,64.62960052490234,42.0,74.0,181.0,199.0,218.0,188.98155212402344,193.42626953125,123.05123901367188,0.2528470111448835,0.5187031408308004,0.22844984802431612,22.692100524902344,0.7296251266464032,165.26187436676798,152.00083080040528,118.5921681864235,0.2529032230377197,46.669700622558594,48,26315,26583,0.9899183688823684,47,50148,50467,0.9936790377870688,0.5080851063829788,0.9467071935157042,1.0,1.095890410958904,1.0966666666666667,False,False,14271
